iter	Logloss
0	0.658859393
1	0.6280361775
2	0.5991600104
3	0.5742341513
4	0.5519675572
5	0.5305245465
6	0.5113367104
7	0.4943817459
8	0.4774284684
9	0.463719469
10	0.4515333858
11	0.4408925371
12	0.4316576682
13	0.4227713222
14	0.4137987395
15	0.40618125
16	0.400127618
17	0.3938370983
18	0.3880232856
19	0.3830567843
20	0.3786824379
21	0.3744516657
22	0.3701679441
23	0.3663427433
24	0.3624142633
25	0.3591471345
26	0.3562673982
27	0.3532240333
28	0.3506568582
29	0.3483566705
30	0.3462693932
31	0.344377455
32	0.3425774358
33	0.3397617783
34	0.3377890507
35	0.3362278064
36	0.3346991917
37	0.3333505647
38	0.3321490896
39	0.3308221592
40	0.3292920712
41	0.3279783943
42	0.3262610121
43	0.325048076
44	0.3238981948
45	0.3230219967
46	0.3219861903
47	0.3213069976
48	0.3204184719
49	0.3196068427
50	0.3186389973
51	0.3178490639
52	0.3169402768
53	0.3162767402
54	0.3154725445
55	0.3148621253
56	0.3137834769
57	0.3132959896
58	0.3126111118
59	0.3120650846
60	0.3114291598
61	0.3107869482
62	0.3101523416
63	0.3097073302
64	0.3090897083
65	0.3087696713
66	0.3082098573
67	0.3077326645
68	0.3071857805
69	0.3067585878
70	0.3062179286
71	0.3052183184
72	0.3047767909
73	0.3043918701
74	0.3039957531
75	0.3035438979
76	0.3028137828
77	0.3024378857
78	0.302073123
79	0.3016836924
80	0.3013526915
81	0.3010309113
82	0.3007069195
83	0.3003599775
84	0.2999128416
85	0.2995773388
86	0.2992490367
87	0.2988666972
88	0.2986410391
89	0.2982686601
90	0.2979736808
91	0.297628837
92	0.2972988643
93	0.2968606252
94	0.2965013814
95	0.2960352246
96	0.2956826126
97	0.2952614806
98	0.2949758474
99	0.2946587165
100	0.2941825036
101	0.2939141199
102	0.2935105638
103	0.2933074824
104	0.2928904478
105	0.2925879122
106	0.2923506186
107	0.2919511612
108	0.291609185
109	0.2913081957
110	0.2909666053
111	0.2906637955
112	0.2903202627
113	0.2901597465
114	0.2897244536
115	0.2894155372
116	0.2891063709
117	0.2886057284
118	0.2882420211
119	0.2879879815
120	0.2873829392
121	0.2871596622
122	0.2868564378
123	0.2865246245
124	0.2861672523
125	0.2859982252
126	0.2857539317
127	0.2854339595
128	0.2851139073
129	0.2847781712
130	0.284324421
131	0.2839030315
132	0.2835980463
133	0.2833863737
134	0.2830302992
135	0.2827446783
136	0.2823752092
137	0.2820987545
138	0.2818020398
139	0.2815412238
140	0.2811527409
141	0.2808257745
142	0.28059916
143	0.2803307272
144	0.2800784335
145	0.2795661631
146	0.2792734026
147	0.2790169075
148	0.2787694645
149	0.2785328804
150	0.2783648723
151	0.2780010766
152	0.2775769805
153	0.2772706866
154	0.2770947007
155	0.2767612695
156	0.2764900432
157	0.2762003494
158	0.2759508295
159	0.2756247515
160	0.2753437814
161	0.2750693532
162	0.274944874
163	0.2747259963
164	0.2744334418
165	0.2741587707
166	0.2738459732
167	0.2736554457
168	0.2734673593
169	0.2730713011
170	0.2726795857
171	0.2724440335
172	0.2720866054
173	0.2719503059
174	0.2714961642
175	0.2711440968
176	0.2709477493
177	0.2707150015
178	0.2705053085
179	0.2702291073
180	0.2699116608
181	0.2695627018
182	0.2692703922
183	0.26909791
184	0.2687776087
185	0.2686463079
186	0.2684087563
187	0.2682420026
188	0.2680119152
189	0.267515116
190	0.2673033536
191	0.2671049806
192	0.2669253853
193	0.2667168153
194	0.2664287089
195	0.2661807012
196	0.2657842663
197	0.2655350255
198	0.265368897
199	0.2650327201
200	0.2647711158
201	0.2646211504
202	0.2643833595
203	0.2642026627
204	0.2638826478
205	0.2637282157
206	0.263400552
207	0.2631493318
208	0.2628797239
209	0.2626699842
210	0.2624389289
211	0.2622192245
212	0.2620951226
213	0.2619140427
214	0.2616430839
215	0.261461932
216	0.2611944869
217	0.261040546
218	0.2608464148
219	0.2605463135
220	0.2603943277
221	0.2602090337
222	0.2599900386
223	0.259679155
224	0.2595082991
225	0.2591195063
226	0.2589540293
227	0.2586545633
228	0.2583415758
229	0.2581352287
230	0.2577562648
231	0.2575374463
232	0.2574096473
233	0.2572485002
234	0.2570378678
235	0.2568785377
236	0.256452604
237	0.2562082828
238	0.2559607868
239	0.255721842
240	0.2554844157
241	0.255222366
242	0.2548960876
243	0.2546937142
244	0.2541985733
245	0.2537629291
246	0.253464512
247	0.2533064422
248	0.2531903167
249	0.2529487678
250	0.2527066138
251	0.2524855531
252	0.2522582063
253	0.2519222379
254	0.2517146243
255	0.2515382141
256	0.2513317417
257	0.2510967144
258	0.2508256743
259	0.2506901512
260	0.2504971217
261	0.250346071
262	0.2500715761
263	0.2498245379
264	0.2497495488
265	0.2495715296
266	0.2493559701
267	0.2489495632
268	0.2488084547
269	0.2486308998
270	0.2484721767
271	0.2482229299
272	0.2480719932
273	0.247727592
274	0.2475255289
275	0.2472275776
276	0.2469836852
277	0.2467850462
278	0.2465895943
279	0.2464791141
280	0.2463043544
281	0.2460487078
282	0.2458561755
283	0.2455639798
284	0.2454564558
285	0.2449785769
286	0.2447669206
287	0.244582296
288	0.2444140285
289	0.2440436441
290	0.2438508513
291	0.2436753398
292	0.2435063231
293	0.2433191678
294	0.2431869588
295	0.2428820865
296	0.2427317805
297	0.2424699107
298	0.2422488834
299	0.2421264283
300	0.2420302206
301	0.2418870472
302	0.2416281151
303	0.2412084824
304	0.2410314753
305	0.2408282779
306	0.240636404
307	0.2404751642
308	0.2403283781
309	0.2401944208
310	0.2399998121
311	0.2397348857
312	0.2395807015
313	0.2393537647
314	0.2391644955
315	0.2389944465
316	0.2386135505
317	0.2384705483
318	0.2380008036
319	0.2377916405
320	0.2375304243
321	0.2374039901
322	0.2371479515
323	0.2370245659
324	0.236804501
325	0.2366936603
326	0.2365624846
327	0.2362813913
328	0.2360115871
329	0.2358361723
330	0.2357193748
331	0.2354672037
332	0.2352338048
333	0.2351195146
334	0.2348995895
335	0.2346163856
336	0.2344520679
337	0.234329755
338	0.2342280023
339	0.2340272654
340	0.2338761759
341	0.2334585958
342	0.2332596959
343	0.2332021572
344	0.2329025546
345	0.2327390783
346	0.232502
347	0.2323020055
348	0.2321451312
349	0.2319342558
350	0.2316842743
351	0.23153063
352	0.2313497469
353	0.2309850634
354	0.2308874213
355	0.230686425
356	0.2303815192
357	0.2302016057
358	0.229976609
359	0.2297675141
360	0.2295895703
361	0.2294015575
362	0.2291365296
363	0.228897281
364	0.2286868008
365	0.228422449
366	0.2282864224
367	0.2281659241
368	0.2279370789
369	0.2277818326
370	0.2276396747
371	0.2274221158
372	0.2272909136
373	0.2271435899
374	0.2269372134
375	0.2266601255
376	0.2263271337
377	0.2261466347
378	0.22606487
379	0.2258733036
380	0.2256849535
381	0.2254333359
382	0.2251976165
383	0.2251026636
384	0.2249345483
385	0.2248372191
386	0.2245811119
387	0.2245155784
388	0.2243627238
389	0.22428281
390	0.2240672135
391	0.2239126084
392	0.2236014072
393	0.2233965606
394	0.2232909014
395	0.2228745096
396	0.2226726527
397	0.222489025
398	0.2223176231
399	0.2221088645
400	0.2219268386
401	0.2217229981
402	0.2215389985
403	0.2213554007
404	0.2211670958
405	0.2210142382
406	0.2208731146
407	0.220676527
408	0.2205524023
409	0.2203275626
410	0.2199968534
411	0.2197803842
412	0.2195975017
413	0.219441825
414	0.2192429979
415	0.2190364693
416	0.218910949
417	0.2187450825
418	0.2184665745
419	0.2183381233
420	0.2181181737
421	0.2179716613
422	0.2177344677
423	0.2176683853
424	0.2173574116
425	0.217232783
426	0.2171016544
427	0.2169851853
428	0.2166282079
429	0.2164791219
430	0.2163724363
431	0.2161944168
432	0.2160934278
433	0.2160216682
434	0.2159132682
435	0.2157198812
436	0.2155686586
437	0.2153531554
438	0.2151840616
439	0.2148625475
440	0.21469811
441	0.2146236899
442	0.2144642915
443	0.2143570892
444	0.2140417048
445	0.2138826517
446	0.2137364209
447	0.2136273597
448	0.2134093091
449	0.2132290437
450	0.2130609636
451	0.2129232031
452	0.2127476479
453	0.2125788996
454	0.2124775258
455	0.2121524766
456	0.2120634686
457	0.2119387359
458	0.2116825628
459	0.2115094877
460	0.2112657236
461	0.2111423685
462	0.2109407735
463	0.2107602351
464	0.210656349
465	0.2105033215
466	0.2102246148
467	0.2100360359
468	0.2099152492
469	0.2096235527
470	0.2095337183
471	0.2093685862
472	0.2093007328
473	0.2091651527
474	0.2089638686
475	0.2088675902
476	0.208563861
477	0.2082822779
478	0.2081804221
479	0.2080218783
480	0.2079699356
481	0.2077378364
482	0.2076019168
483	0.2074996667
