iter	Passed	Remaining
0	1	3833
1	2	3452
2	4	3202
3	4	2930
4	6	2847
5	6	2727
6	7	2663
7	8	2614
8	10	2641
9	12	2820
10	12	2767
11	13	2699
12	14	2645
13	15	2604
14	17	2657
15	18	2651
16	19	2631
17	19	2594
18	20	2577
19	22	2589
20	23	2587
21	24	2576
22	25	2550
23	26	2545
24	27	2533
25	28	2529
26	29	2528
27	30	2508
28	31	2507
29	32	2499
30	33	2487
31	34	2492
32	35	2480
33	36	2468
34	37	2459
35	38	2452
36	39	2446
37	40	2452
38	41	2447
39	42	2459
40	43	2449
41	44	2447
42	45	2440
43	46	2432
44	47	2433
45	48	2436
46	49	2432
47	50	2431
48	51	2425
49	52	2418
50	53	2422
51	54	2416
52	55	2408
53	56	2401
54	57	2406
55	58	2402
56	59	2403
57	60	2394
58	61	2392
59	62	2396
60	63	2400
61	64	2395
62	65	2388
63	66	2378
64	67	2372
65	68	2366
66	69	2365
67	70	2358
68	71	2354
69	71	2348
70	72	2343
71	74	2349
72	75	2348
73	76	2347
74	77	2344
75	78	2342
76	79	2344
77	80	2339
78	81	2335
79	81	2331
80	82	2328
81	83	2323
82	84	2323
83	85	2324
84	86	2320
85	88	2324
86	89	2330
87	90	2330
88	91	2330
89	92	2332
90	93	2336
91	94	2335
92	95	2332
93	96	2334
94	98	2335
95	99	2335
96	100	2335
97	101	2331
98	101	2323
99	103	2328
100	104	2323
101	104	2320
102	105	2316
103	106	2311
104	107	2311
105	108	2310
106	109	2307
107	110	2303
108	111	2297
109	112	2293
110	113	2287
111	114	2287
112	115	2289
113	116	2285
114	117	2282
115	118	2280
116	118	2276
117	120	2279
118	121	2276
119	121	2273
120	122	2269
121	123	2265
122	124	2261
123	125	2266
124	126	2264
125	127	2263
126	128	2260
127	129	2257
128	130	2255
129	131	2256
130	132	2257
131	133	2255
132	134	2251
133	135	2250
134	137	2255
135	138	2257
136	139	2255
137	140	2251
138	140	2247
139	141	2244
140	142	2246
141	143	2244
142	144	2240
143	145	2236
144	146	2233
145	147	2236
146	148	2238
147	149	2236
148	150	2232
149	151	2230
150	152	2227
151	153	2225
152	154	2225
153	155	2222
154	156	2218
155	157	2216
156	157	2213
157	158	2210
158	160	2212
159	161	2211
160	161	2208
161	162	2206
162	163	2204
163	164	2202
164	165	2202
165	166	2202
166	167	2202
167	168	2199
168	169	2196
169	170	2193
170	171	2194
171	172	2192
172	173	2191
173	174	2189
174	175	2187
175	176	2185
176	177	2187
177	178	2187
178	179	2187
179	180	2186
180	181	2184
181	182	2185
182	184	2188
183	185	2189
184	186	2187
185	187	2184
186	188	2185
187	189	2184
188	190	2183
189	191	2180
190	192	2178
191	193	2176
192	194	2176
193	195	2176
194	196	2175
195	197	2173
196	198	2171
197	198	2167
198	199	2167
199	201	2168
200	202	2166
201	203	2165
202	203	2163
203	204	2160
204	205	2161
205	206	2161
206	208	2161
207	208	2159
208	210	2158
209	211	2157
210	212	2158
211	213	2157
212	214	2154
213	214	2152
214	215	2150
215	216	2146
216	217	2146
217	218	2145
218	219	2142
219	220	2140
220	221	2138
221	222	2137
222	223	2139
223	224	2137
224	225	2134
225	226	2133
226	227	2131
227	228	2130
228	229	2131
229	230	2129
230	231	2127
231	232	2125
232	232	2123
233	233	2121
234	234	2121
235	235	2119
236	236	2117
237	237	2116
238	238	2116
239	239	2115
240	240	2115
241	242	2115
242	242	2113
243	243	2111
244	244	2109
245	245	2109
246	246	2109
247	247	2108
248	248	2106
249	249	2106
250	250	2105
251	252	2107
252	253	2106
253	254	2104
254	254	2101
255	255	2099
256	256	2098
257	258	2099
258	258	2097
259	259	2095
260	260	2094
261	261	2091
262	262	2090
263	263	2089
264	264	2087
265	265	2085
266	266	2084
267	267	2083
268	268	2083
269	269	2083
270	270	2082
271	271	2080
272	272	2078
273	273	2076
274	274	2075
275	275	2075
276	276	2074
277	277	2072
278	278	2070
279	278	2069
280	280	2069
281	281	2069
282	282	2067
283	283	2065
284	283	2064
285	284	2062
286	285	2061
287	286	2061
288	287	2060
289	288	2059
290	289	2058
291	290	2056
292	291	2056
293	292	2055
294	293	2053
295	294	2051
296	295	2050
297	296	2048
298	297	2048
299	298	2048
300	299	2046
301	300	2044
302	301	2042
303	302	2041
304	303	2041
305	304	2040
306	305	2039
307	306	2038
308	307	2036
309	308	2035
310	309	2034
311	310	2033
312	311	2031
313	312	2030
314	313	2029
315	313	2026
316	314	2026
317	315	2025
318	316	2024
319	317	2023
320	318	2021
321	319	2020
322	320	2018
323	321	2018
324	322	2016
325	323	2015
326	324	2013
327	325	2011
328	326	2010
329	327	2009
330	327	2007
331	328	2005
332	329	2004
333	330	2002
334	331	2000
335	332	2001
336	333	1998
337	334	1997
338	335	1995
339	336	1994
340	337	1995
341	338	1994
342	339	1993
343	340	1992
344	341	1991
345	342	1989
346	343	1988
347	344	1988
348	345	1987
349	346	1986
350	347	1984
351	348	1982
352	348	1980
353	349	1979
354	350	1977
355	351	1975
356	352	1976
357	353	1974
358	354	1973
359	355	1972
360	356	1972
361	357	1970
362	358	1969
363	359	1968
