iter	Logloss
0	0.6841712106
1	0.6768244283
2	0.6684688297
3	0.661996083
4	0.6550442444
5	0.6489558898
6	0.6432792319
7	0.6371089059
8	0.631339479
9	0.6280012159
10	0.6233602272
11	0.6189761184
12	0.6149451119
13	0.6106131117
14	0.6082612354
15	0.6047606748
16	0.6007068134
17	0.5980791407
18	0.5957434186
19	0.5932062913
20	0.5897399942
21	0.5872834719
22	0.5853862766
23	0.5837178711
24	0.5811593761
25	0.5796668535
26	0.5771575463
27	0.5756015238
28	0.5735930328
29	0.5713516744
30	0.5693874554
31	0.5674838676
32	0.5664004854
33	0.5651376887
34	0.5632939226
35	0.5623145652
36	0.5613059246
37	0.5601372456
38	0.5588977807
39	0.5582225476
40	0.557197746
41	0.5559882892
42	0.5541922838
43	0.5530923468
44	0.5525804759
45	0.5515816206
46	0.5504261889
47	0.5495462605
48	0.5487655592
49	0.5477956529
50	0.5467237634
51	0.5458858162
52	0.5453570055
53	0.5444300696
54	0.5441223748
55	0.5436878692
56	0.5433960498
57	0.5430101622
58	0.5425189561
59	0.5422500407
60	0.5416026841
61	0.5411623298
62	0.5407928986
63	0.5403999231
64	0.5398640792
65	0.5393259389
66	0.5389177282
67	0.5384573784
68	0.5379219511
69	0.5376439403
70	0.537108638
71	0.536829866
72	0.5366483881
73	0.5363931705
74	0.5362624171
75	0.5361415906
76	0.5358786658
77	0.5356135867
78	0.5351683138
79	0.5349255823
80	0.5347709929
81	0.5345107762
82	0.5342733869
83	0.5341805007
84	0.5337780879
85	0.5336338932
86	0.5333704294
87	0.533117457
88	0.5327502083
89	0.5326874908
90	0.5325963206
91	0.5325031367
92	0.5324385762
93	0.5323829394
94	0.5322290424
95	0.5319433314
96	0.5315312883
97	0.5310654221
98	0.5310245542
99	0.5309248459
100	0.5308706292
101	0.5305395032
102	0.5303061527
103	0.5301093747
104	0.5299350594
105	0.5297892665
106	0.5294247493
107	0.5293911308
108	0.5290916557
109	0.5289170564
110	0.5288398699
111	0.5287532591
112	0.5286752504
113	0.5284389447
114	0.5281923837
115	0.5281720594
116	0.5279766935
117	0.5279571837
118	0.5277025971
119	0.5275296518
120	0.5275081478
121	0.527481531
122	0.5273587426
123	0.5273447741
124	0.5271867489
125	0.5271837047
126	0.5269099435
127	0.5266745628
128	0.5264764435
129	0.5262843016
130	0.5262726452
131	0.5261387774
132	0.5259986819
133	0.5257684263
134	0.5255929489
135	0.5255551862
136	0.5254840228
137	0.5253724874
138	0.5252144602
139	0.5251181551
140	0.525073779
141	0.5250346134
142	0.5250264608
143	0.5248603323
144	0.5247087721
145	0.5245825074
146	0.5243930947
147	0.5243284661
148	0.5242675382
149	0.5241317914
150	0.5240353698
151	0.5239317107
152	0.5238303897
153	0.5236625029
154	0.5235232924
155	0.5235182399
156	0.5233855224
157	0.5232944981
158	0.5232898839
159	0.5231859877
160	0.5230653774
161	0.5229131447
162	0.5229098177
163	0.5228252431
164	0.5227724468
165	0.5227663587
166	0.5226834166
167	0.5224541187
168	0.5223154233
169	0.5222448668
170	0.522171296
171	0.5219743549
172	0.5218823228
173	0.5218458046
174	0.5216986252
175	0.5216242642
176	0.5214737796
177	0.5214223019
178	0.5213498931
179	0.5213170682
180	0.5212566095
181	0.5211815645
182	0.5211732638
183	0.5210156386
184	0.5209358065
185	0.5208845397
186	0.5208295509
187	0.5208080095
188	0.5207710884
189	0.5207306854
190	0.5206073802
191	0.5204984055
192	0.5204346659
193	0.5203640469
194	0.5203606101
195	0.52033
196	0.520235473
197	0.5201595553
198	0.5201280385
199	0.5201167613
200	0.5200687926
201	0.5200379954
202	0.5200211046
203	0.5199442968
204	0.5199091529
205	0.5199071353
206	0.5199065603
207	0.5198667868
208	0.5198407287
209	0.5197285259
210	0.5196997223
211	0.5195834602
212	0.5195810256
213	0.5195777643
214	0.5194284778
215	0.5194284766
216	0.51939732
217	0.519372955
218	0.5193441074
219	0.5192626844
220	0.5192474857
221	0.519113635
222	0.5191103408
223	0.5190807682
224	0.5189790442
225	0.5189788279
226	0.5188976553
227	0.5188099094
228	0.5187777644
229	0.5187777634
230	0.5187602928
231	0.5186700238
232	0.5186207366
233	0.5185866109
234	0.5185558178
235	0.5185086744
236	0.5185014542
237	0.5184248812
238	0.518419239
239	0.5183415743
240	0.5182462683
241	0.518235422
242	0.518216027
243	0.5181875673
244	0.5181870817
245	0.5181336787
246	0.5180547621
247	0.5178852142
248	0.5178827369
249	0.5178674137
250	0.5177902879
251	0.5177257039
252	0.5176931672
253	0.5176858953
254	0.5176029246
255	0.5175388339
256	0.5174751197
257	0.5174747459
258	0.5174512889
259	0.5174138462
260	0.5173302056
261	0.5173282946
262	0.5172450411
263	0.517114141
264	0.5171088954
265	0.5170713966
266	0.5170403415
267	0.5170237411
268	0.5169262563
269	0.5168383157
270	0.5168088764
271	0.5167908893
272	0.5167470121
273	0.5166968195
274	0.5166420804
275	0.5164956512
276	0.5164810046
277	0.516481003
278	0.5164785176
279	0.516363451
280	0.5163356709
281	0.5162604618
282	0.5162379452
283	0.5162376674
284	0.5162372678
285	0.516220692
286	0.5161995987
287	0.5160636933
288	0.516040715
289	0.5159614422
290	0.5159579367
291	0.5159438224
292	0.5159293572
293	0.5159225743
294	0.5158875078
295	0.5158856314
296	0.5157987751
297	0.5157355569
298	0.5156722558
299	0.5156533818
300	0.5155991131
301	0.5155822927
302	0.5155554116
303	0.515527702
304	0.5153832759
305	0.5152233653
306	0.5151943688
307	0.5151615939
308	0.5151407287
309	0.51504515
310	0.5150145875
311	0.5149778502
312	0.514972506
313	0.5149375033
314	0.5149056682
315	0.5148820223
316	0.5148280788
317	0.5148132974
318	0.5147355439
319	0.5146674085
320	0.5145708488
321	0.5145407297
322	0.5144649115
323	0.5144363675
324	0.5143733674
325	0.5143375514
326	0.5143188542
327	0.5142731454
328	0.5141826348
329	0.5141572554
330	0.514125717
331	0.5140761837
332	0.5140630641
333	0.5140502601
334	0.5139354328
335	0.5138476448
336	0.5137659444
337	0.5137342765
338	0.5135940856
339	0.5135062627
340	0.5134571238
341	0.5134196812
342	0.5134162513
343	0.5133014921
344	0.5132853368
345	0.5132574785
346	0.513198305
347	0.5131821715
348	0.5131379586
349	0.5130781646
350	0.5130509657
351	0.5130444044
352	0.5130094832
353	0.5129542354
354	0.5129132532
355	0.512859303
356	0.5128540955
357	0.5128377826
358	0.512815196
359	0.5127364108
360	0.5126919707
361	0.5126847082
362	0.5126847082
363	0.5126553549
364	0.5125669582
365	0.5125291344
366	0.5125171152
367	0.5124298324
368	0.5124298323
369	0.5123035403
370	0.5122972107
371	0.5122099523
372	0.5120262982
373	0.5119959695
374	0.5119260887
375	0.5118967602
376	0.511859388
377	0.5117555587
378	0.5117323683
379	0.511716511
380	0.5116839127
381	0.5114928729
382	0.5114851247
383	0.511446398
384	0.5112667886
385	0.5112048291
386	0.5111952309
387	0.5111578042
388	0.5111416726
389	0.5110945184
390	0.511063298
391	0.5110511015
392	0.5110073348
393	0.5109910207
394	0.5109724098
395	0.5109724097
396	0.5109137483
397	0.5108451287
398	0.5108204823
399	0.5107608156
400	0.5107024532
401	0.5106485761
402	0.5106360781
403	0.5105928969
404	0.5105928894
405	0.5105676142
406	0.5105543515
407	0.5105104522
408	0.5104459541
409	0.5103922059
410	0.5103886122
411	0.5103720298
412	0.5103633829
413	0.5103396973
414	0.5103248778
415	0.510282425
416	0.510282425
417	0.510213105
418	0.5101897314
419	0.5101760389
420	0.5101680945
421	0.5101589418
422	0.5100716014
423	0.509995644
424	0.5099577411
425	0.5099443699
426	0.5099372619
427	0.5099004663
428	0.5098937895
429	0.509864453
430	0.5098460097
431	0.5098460097
432	0.5097349928
433	0.5096665796
434	0.5096346502
435	0.5094800142
436	0.5094308428
437	0.5094058749
438	0.5093704859
439	0.509324483
440	0.509312812
441	0.5092965231
442	0.5092964263
443	0.5092050513
444	0.5091425607
445	0.5090297493
446	0.5089087252
447	0.5088865043
448	0.5088665871
449	0.5088569907
450	0.5088569898
451	0.5088528007
452	0.5087607765
453	0.5087223622
454	0.5087149807
455	0.50868136
456	0.5086570001
457	0.5085916661
458	0.5084776078
459	0.5083894122
460	0.5083176825
461	0.5083155988
462	0.5081776988
463	0.5080870704
464	0.5080823975
465	0.5079930337
466	0.5078813289
467	0.5078235186
468	0.5077676284
469	0.5076791439
470	0.5076051203
471	0.5075301701
472	0.5075211792
473	0.5075211789
474	0.5075127081
475	0.507463761
476	0.5073948445
477	0.5073054802
478	0.5072862079
479	0.5072823787
480	0.5072548926
481	0.5072412008
482	0.5072364312
483	0.5071584145
484	0.5070307117
485	0.5070217504
486	0.5070149584
487	0.5069524012
488	0.5069353693
489	0.5069027504
490	0.506849368
491	0.5068478194
492	0.506786315
493	0.506764265
494	0.5067200356
495	0.5067165783
496	0.5067072935
497	0.506669952
498	0.5065612179
499	0.506550591
500	0.5065497275
501	0.5064619943
502	0.5064160907
503	0.5063712518
504	0.5063280022
505	0.5063013623
506	0.5062584352
507	0.5062220282
508	0.5061593128
509	0.5061144285
510	0.5059711481
511	0.5059686897
512	0.5059294773
513	0.5058862594
514	0.5058656008
515	0.5058608095
516	0.5058443093
517	0.5058056073
518	0.5057999105
519	0.5057970874
520	0.5057901296
521	0.5057549057
522	0.5057521522
523	0.5056630758
524	0.5054867535
