iter	Passed	Remaining
0	22	22323
1	44	21968
2	70	23300
3	94	23538
4	117	23307
5	139	23045
6	162	23088
7	185	22996
8	208	22953
9	227	22499
10	249	22421
11	271	22352
12	290	22068
13	313	22069
14	325	21358
15	348	21461
16	372	21526
17	395	21557
18	420	21694
19	435	21348
20	458	21365
21	480	21341
22	503	21397
23	537	21853
24	560	21853
25	577	21627
26	599	21617
27	623	21631
28	645	21609
29	667	21591
30	689	21564
31	712	21555
32	725	21254
33	748	21269
34	770	21250
35	794	21261
36	816	21246
37	838	21239
38	855	21085
39	872	20928
40	894	20914
41	916	20907
42	939	20916
43	963	20924
44	975	20696
45	997	20695
46	1020	20702
47	1044	20707
48	1066	20699
49	1091	20730
50	1114	20740
51	1136	20719
52	1149	20530
53	1177	20634
54	1193	20510
55	1218	20540
56	1230	20352
57	1253	20351
58	1308	20867
59	1318	20650
60	1340	20642
61	1364	20639
62	1387	20637
63	1400	20475
64	1422	20462
65	1445	20449
66	1467	20439
67	1491	20446
68	1514	20439
69	1536	20417
70	1559	20401
71	1571	20256
72	1591	20206
73	1613	20187
74	1625	20041
75	1636	19900
76	1658	19886
77	1681	19871
78	1704	19866
79	1726	19853
80	1748	19837
81	1771	19831
82	1794	19820
83	1805	19691
84	1828	19684
85	1850	19671
86	1876	19688
87	1898	19677
88	1919	19645
89	1928	19502
90	1950	19484
91	1970	19450
92	1986	19369
93	2008	19361
94	2031	19353
95	2050	19309
96	2074	19313
97	2097	19305
98	2106	19171
99	2129	19162
100	2138	19030
101	2160	19024
102	2183	19011
103	2204	18996
104	2226	18980
105	2251	18987
106	2274	18980
107	2286	18882
108	2312	18905
109	2336	18900
110	2358	18885
111	2381	18882
112	2403	18865
113	2425	18849
114	2448	18840
115	2456	18722
116	2478	18706
117	2494	18641
118	2516	18629
119	2538	18617
120	2554	18555
121	2566	18471
122	2588	18455
123	2596	18345
124	2618	18329
125	2630	18246
126	2653	18242
127	2676	18231
128	2698	18221
129	2720	18208
130	2732	18129
131	2756	18124
132	2779	18117
133	2801	18107
134	2824	18096
135	2843	18066
136	2865	18053
137	2889	18046
138	2911	18034
139	2934	18023
140	2955	18007
141	2971	17955
142	2983	17879
143	3005	17867
144	3027	17854
145	3050	17843
146	3072	17831
147	3095	17822
148	3117	17808
149	3140	17796
150	3163	17786
151	3186	17775
152	3208	17762
153	3231	17750
154	3253	17736
155	3266	17671
156	3289	17660
157	3311	17647
158	3324	17582
159	3346	17569
160	3368	17555
161	3392	17548
162	3401	17464
163	3437	17522
164	3460	17511
165	3475	17461
166	3528	17598
167	3551	17587
168	3574	17575
169	3596	17557
170	3618	17544
171	3641	17530
172	3664	17517
173	3689	17515
174	3712	17503
175	3735	17488
176	3758	17475
177	3780	17457
178	3802	17441
179	3825	17428
180	3848	17413
181	3871	17402
182	3888	17360
183	3911	17345
184	3934	17332
185	3957	17317
186	3980	17307
187	4003	17292
188	4025	17271
189	4047	17256
190	4070	17239
191	4092	17223
192	4115	17206
193	4138	17194
194	4160	17175
195	4182	17157
196	4204	17140
197	4226	17119
198	4249	17105
199	4270	17083
200	4294	17070
201	4316	17051
202	4338	17035
203	4361	17020
204	4384	17002
205	4403	16971
206	4411	16900
207	4434	16887
208	4457	16868
209	4478	16848
210	4501	16831
211	4523	16813
212	4546	16797
213	4555	16731
214	4577	16714
215	4583	16635
216	4598	16592
217	4620	16572
218	4643	16558
219	4666	16544
220	4688	16527
221	4711	16512
222	4727	16471
223	4743	16431
224	4765	16416
225	4778	16364
226	4800	16347
227	4822	16330
228	4845	16314
229	4854	16252
230	4876	16235
231	4899	16220
232	4923	16207
233	4945	16188
234	4968	16173
235	4990	16156
236	5009	16127
237	5032	16111
238	5047	16071
239	5069	16054
240	5091	16036
241	5113	16017
242	5129	15979
243	5151	15961
244	5160	15903
245	5184	15891
246	5207	15875
247	5226	15848
248	5249	15832
249	5264	15794
250	5287	15778
251	5309	15760
252	5332	15744
253	5354	15726
254	5375	15706
255	5400	15695
256	5422	15675
257	5431	15620
258	5453	15603
259	5475	15583
260	5498	15567
261	5520	15550
262	5542	15533
263	5565	15514
264	5577	15469
265	5599	15452
266	5621	15433
267	5643	15414
268	5666	15398
269	5688	15380
270	5723	15396
271	5745	15376
272	5767	15358
273	5790	15342
274	5813	15326
275	5835	15307
276	5858	15292
277	5863	15229
278	5878	15192
279	5903	15181
280	5926	15164
281	5949	15147
282	5971	15129
283	5984	15086
284	5993	15035
285	6011	15006
286	6029	14979
287	6052	14962
288	6074	14945
289	6097	14927
290	6109	14885
291	6128	14860
292	6151	14844
293	6166	14808
294	6189	14791
295	6207	14763
296	6230	14747
297	6252	14729
298	6274	14710
299	6296	14692
300	6319	14675
301	6345	14665
302	6369	14651
303	6391	14633
304	6414	14617
305	6436	14598
306	6459	14580
307	6481	14563
308	6503	14544
309	6526	14527
310	6546	14502
311	6568	14485
312	6590	14465
313	6613	14448
314	6635	14430
315	6657	14410
316	6681	14395
317	6704	14378
318	6726	14359
319	6748	14341
320	6771	14322
321	6794	14306
322	6816	14288
323	6840	14272
324	6864	14256
325	6887	14239
326	6910	14222
327	6932	14204
328	6955	14185
329	6977	14166
330	6999	14147
331	7021	14128
332	7043	14108
333	7059	14076
334	7082	14059
335	7104	14040
336	7127	14022
337	7151	14006
338	7174	13988
339	7196	13969
340	7218	13950
341	7237	13925
342	7259	13905
343	7282	13888
344	7305	13870
345	7328	13852
346	7351	13834
347	7373	13814
348	7396	13796
349	7419	13778
350	7442	13760
351	7464	13740
352	7486	13721
353	7509	13702
354	7532	13684
355	7554	13666
356	7577	13647
357	7599	13627
358	7622	13610
359	7646	13593
360	7668	13574
361	7680	13536
362	7689	13494
363	7712	13475
364	7734	13456
365	7757	13438
366	7773	13407
367	7795	13387
368	7804	13345
369	7826	13326
370	7849	13307
371	7871	13288
372	7894	13270
373	7918	13254
374	7941	13236
375	7964	13218
376	7986	13198
377	8010	13181
378	8035	13166
379	8057	13146
380	8080	13127
381	8103	13110
382	8125	13089
383	8148	13070
384	8171	13053
385	8193	13033
386	8215	13012
387	8238	12995
388	8257	12970
389	8281	12952
390	8302	12931
391	8324	12912
392	8347	12893
393	8369	12873
394	8391	12852
395	8396	12807
396	8419	12787
397	8441	12768
398	8463	12748
399	8486	12729
400	8507	12708
401	8530	12689
402	8554	12673
403	8577	12653
404	8589	12618
405	8610	12598
406	8633	12579
407	8655	12559
408	8679	12541
409	8702	12522
410	8725	12503
411	8747	12484
412	8769	12464
413	8805	12464
414	8828	12445
415	8850	12425
416	8859	12385
417	8881	12366
418	8906	12350
419	8930	12332
420	8952	12312
421	8974	12292
422	8999	12275
423	9022	12256
424	9045	12238
425	9067	12217
426	9092	12201
427	9115	12181
428	9136	12161
429	9159	12141
430	9175	12113
431	9184	12075
432	9205	12054
433	9228	12035
434	9251	12016
435	9274	11997
436	9296	11977
437	9319	11958
438	9342	11939
439	9364	11918
440	9387	11898
441	9409	11878
442	9425	11850
443	9448	11832
444	9471	11812
445	9493	11792
446	9516	11773
447	9539	11753
448	9561	11733
449	9585	11716
450	9597	11682
451	9619	11662
452	9642	11642
453	9664	11623
454	9687	11603
455	9709	11583
456	9731	11563
457	9754	11543
458	9776	11522
459	9798	11502
460	9821	11483
461	9844	11463
462	9867	11444
463	9890	11425
464	9913	11405
465	9937	11387
466	9960	11367
467	9982	11348
468	10005	11327
469	10028	11308
470	10050	11288
471	10073	11268
472	10095	11248
473	10104	11212
474	10126	11192
475	10149	11173
476	10171	11152
477	10192	11130
